CompteurTemps	Temps	Cx0	Cy0	
406	3.645	-1.57763	-3.50499	
407	3.654	-1.54511	-3.53363	
408	3.663	-1.54186	-3.54172	
409	3.672	-1.53886	-3.54951	
410	3.681	-1.53581	-3.55725	
411	3.69	-1.53769	-3.57286	
412	3.699	-1.52901	-3.57122	
413	3.708	-1.52594	-3.57847	
414	3.717	-1.52295	-3.58595	
415	3.726	-1.52	-3.59342	
416	3.735	-1.53793	-3.58818	
417	3.744	-1.51195	-3.60649	
418	3.753	-1.50923	-3.61417	
419	3.762	-1.50663	-3.62166	
420	3.771	-1.504	-3.62904	
421	3.78	-1.54207	-3.62642	
422	3.789	-1.49582	-3.64148	
423	3.798	-1.49243	-3.64919	
424	3.807	-1.48967	-3.65663	
425	3.816	-1.48697	-3.66388	
426	3.825	-1.51903	-3.66277	
427	3.834	-1.47937	-3.67734	
428	3.843	-1.47638	-3.68466	
429	3.852	-1.47378	-3.6916	
430	3.861	-1.47123	-3.6984	
431	3.87	-1.47855	-3.69418	
432	3.879	-1.46631	-3.71036	
433	3.888	-1.46364	-3.71733	
434	3.897	-1.46108	-3.72396	
435	3.906	-1.45852	-3.73046	
436	3.915	-1.46772	-3.72426	
437	3.924	-1.4528	-3.74258	
438	3.933	-1.44995	-3.74903	
439	3.942	-1.44731	-3.75527	
440	3.951	-1.44473	-3.76141	
441	3.96	-1.46376	-3.7583	
442	3.969	-1.43989	-3.77276	
443	3.978	-1.43704	-3.77866	
444	3.987	-1.43446	-3.78445	
445	3.996	-1.43188	-3.79021	
446	4.005	-1.43995	-3.76681	
447	4.014	-1.42617	-3.80007	
448	4.023	-1.42321	-3.80629	
449	4.032	-1.42062	-3.8119	
450	4.041	-1.41805	-3.81739	
451	4.05	-1.43101	-3.80403	
452	4.059	-1.41309	-3.82681	
453	4.068	-1.41032	-3.83232	
454	4.077	-1.40775	-3.83753	
455	4.086	-1.40515	-3.84271	
456	4.095	-1.42261	-3.85784	
457	4.104	-1.4001	-3.85232	
458	4.113	-1.39691	-3.85727	
459	4.122	-1.39403	-3.86237	
460	4.131	-1.39122	-3.86742	
461	4.14	-1.41204	-3.87261	
